,addr1,,,,,,,,,,,,,,,
0,인천광역시 서구 청마로112번길 22,,,,,,,,,,,,,,,
1,인천광역시 강화군 교동면 대룡안길54번길 24,,,,,,,,,,,,,,,
2,인천광역시 서구 담지로86번길5-41,,,,,,,,,,,,,,,
3,인천광역시 강화군 강화읍 동문로 119,,,,,,,,,,,,,,,
4,인천광역시 강화군 하점면 부근리,,,,,,,,,,,,,,,
5,인천광역시 강화군 양도면 강화남로921번길 10-6,,,,,,,,,,,,,,,
6,인천광역시 강화군 불은면 덕진로 34,,,,,,,,,,,,,,,
7,인천광역시 강화군 화도면 해안남로 1481,,,,,,,,,,,,,,,
8,인천광역시 강화군 화도면 해안남로1114번길 6,,,,,,,,,,,,,,,
9,인천광역시 강화군 서도면 주문도길 256-1,,,,,,,,,,,,,,,
10,인천광역시 강화군 강화읍 국화리,,,,,,,,,,,,,,,
11,인천광역시 강화군 선원면 선원사지로 222,,,,,,,,,,,,,,,
12,인천광역시 강화군 불은면 중앙로 742-2,,,,,,,,,,,,,,,
13,인천광역시 강화군 송해면 전망대로423번길 161,,,,,,,,,,,,,,,
14,인천광역시 강화군 내가면 황청포구로385번길 8,,,,,,,,,,,,,,,
15,인천광역시 강화군 강화읍 관청길27번길 10,,,,,,,,,,,,,,,
16,인천광역시 강화군 강화읍 강화대로 335,,,,,,,,,,,,,,,
17,인천광역시 강화군 강화읍,,,,,,,,,,,,,,,
18,인천광역시 강화군 하점면 장정리,,,,,,,,,,,,,,,
19,인천광역시 강화군 하점면 장정리,,,,,,,,,,,,,,,
20,인천광역시 강화군 길상면 전등사로 37-41,,,,,,,,,,,,,,,
21,인천광역시 강화군 강화읍 강화대로 429,,,,,,,,,,,,,,,
22,인천광역시 강화군 화도면 흥왕리,,,,,,,,,,,,,,,
23,인천광역시 강화군 길상면 해안동로 58,,,,,,,,,,,,,,,
24,인천광역시 강화군 강화읍 중앙로 17-9,,,,,,,,,,,,,,,
